"","X","level","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"1","n","","89710","10269","14068","39069","26304","",NA
"2","sex....","Female","38916 (43.4) "," 4470 (43.5) "," 6130 (43.6) ","17154 (43.9) ","11162 (42.4) "," 0.003",NA
"3","X","Male","50794 (56.6) "," 5799 (56.5) "," 7938 (56.4) ","21915 (56.1) ","15142 (57.6) ","",NA
"4","age_group....","16-24"," 6404 ( 7.1) ","  563 ( 5.5) ","  874 ( 6.2) "," 3001 ( 7.7) "," 1966 ( 7.5) ","<0.001",NA
"5","X.1","25-34","16996 (18.9) "," 1529 (14.9) "," 2953 (21.0) "," 7661 (19.6) "," 4853 (18.4) ","",NA
"6","X.2","35-44","15316 (17.1) "," 1568 (15.3) "," 2541 (18.1) "," 6477 (16.6) "," 4730 (18.0) ","",NA
"7","X.3","45-54","15277 (17.0) "," 1832 (17.8) "," 2293 (16.3) "," 6854 (17.5) "," 4298 (16.3) ","",NA
"8","X.4","55-64","20113 (22.4) "," 2606 (25.4) "," 2909 (20.7) "," 8764 (22.4) "," 5834 (22.2) ","",NA
"9","X.5","65-74","13170 (14.7) "," 1811 (17.6) "," 2041 (14.5) "," 5387 (13.8) "," 3931 (14.9) ","",NA
"10","X.6","75+"," 2434 ( 2.7) ","  360 ( 3.5) ","  457 ( 3.2) ","  925 ( 2.4) ","  692 ( 2.6) ","",NA
"11","ethnic....","minority","14931 (16.6) ","  624 ( 6.1) "," 3435 (24.4) "," 6847 (17.5) "," 4025 (15.3) ","<0.001",NA
"12","X.7","white","74779 (83.4) "," 9645 (93.9) ","10633 (75.6) ","32222 (82.5) ","22279 (84.7) ","",NA
"13","quintsoc....","1","18355 (20.5) "," 1304 (12.7) "," 2523 (17.9) "," 8794 (22.5) "," 5734 (21.8) ","<0.001",NA
"14","X.8","2","19034 (21.2) "," 2689 (26.2) "," 2981 (21.2) "," 8600 (22.0) "," 4764 (18.1) ","",NA
"15","X.9","3","18107 (20.2) "," 2669 (26.0) "," 2695 (19.2) "," 7604 (19.5) "," 5139 (19.5) ","",NA
"16","X.10","4","16696 (18.6) "," 2018 (19.7) "," 2560 (18.2) "," 6898 (17.7) "," 5220 (19.8) ","",NA
"17","X.11","5","17518 (19.5) "," 1589 (15.5) "," 3309 (23.5) "," 7173 (18.4) "," 5447 (20.7) ","",NA
"18","quintmat....","1","27518 (30.7) "," 1856 (18.1) "," 4302 (30.6) ","10416 (26.7) ","10944 (41.6) ","<0.001",NA
"19","X.12","2","21636 (24.1) "," 2138 (20.8) "," 3602 (25.6) "," 9488 (24.3) "," 6408 (24.4) ","",NA
"20","X.13","3","18217 (20.3) "," 2096 (20.4) "," 2874 (20.4) "," 8653 (22.1) "," 4594 (17.5) ","",NA
"21","X.14","4","14116 (15.7) "," 2360 (23.0) "," 2075 (14.7) "," 6681 (17.1) "," 3000 (11.4) ","",NA
"22","X.15","5"," 8223 ( 9.2) "," 1819 (17.7) "," 1215 ( 8.6) "," 3831 ( 9.8) "," 1358 ( 5.2) ","",NA
"23","urban....","Rural","11591 (12.9) "," 2001 (19.5) ","  603 ( 4.3) "," 5948 (15.2) "," 3039 (11.6) ","<0.001",NA
"24","X.16","Urban","78119 (87.1) "," 8268 (80.5) ","13465 (95.7) ","33121 (84.8) ","23265 (88.4) ","",NA
